,prem,hypo1,hypo2,score1,score2,diff1,prem-rev,hypo3,hypo4,score3,score4,diff2
895,Either Anna or Connor is a butler,Anna is a butler,Connor is a butler,"{'entailment': '0.24', 'neutral': '0.69', 'contradiction': '0.07'}","{'entailment': '0.45', 'neutral': '0.51', 'contradiction': '0.04'}",0.42,Either Connor or Anna is a butler,Anna is a butler,Connor is a butler,"{'entailment': '0.36', 'neutral': '0.54', 'contradiction': '0.10'}","{'entailment': '0.33', 'neutral': '0.61', 'contradiction': '0.06'}",0.13999999999999993
896,Either Craig or Billy is a cashier,Craig is a cashier,Billy is a cashier,"{'entailment': '0.83', 'neutral': '0.13', 'contradiction': '0.04'}","{'entailment': '0.76', 'neutral': '0.18', 'contradiction': '0.07'}",0.14999999999999994,Either Billy or Craig is a cashier,Craig is a cashier,Billy is a cashier,"{'entailment': '0.76', 'neutral': '0.17', 'contradiction': '0.06'}","{'entailment': '0.80', 'neutral': '0.12', 'contradiction': '0.08'}",0.11000000000000006
897,Either Dawn or Jones is a firefighter,Dawn is a firefighter,Jones is a firefighter,"{'entailment': '0.70', 'neutral': '0.26', 'contradiction': '0.04'}","{'entailment': '0.65', 'neutral': '0.28', 'contradiction': '0.07'}",0.09999999999999995,Either Jones or Dawn is a firefighter,Dawn is a firefighter,Jones is a firefighter,"{'entailment': '0.64', 'neutral': '0.30', 'contradiction': '0.07'}","{'entailment': '0.54', 'neutral': '0.35', 'contradiction': '0.10'}",0.17999999999999997
898,Either Beyonce or Val is a sheriff,Beyonce is a sheriff,Val is a sheriff,"{'entailment': '0.47', 'neutral': '0.35', 'contradiction': '0.18'}","{'entailment': '0.88', 'neutral': '0.08', 'contradiction': '0.04'}",0.82,Either Val or Beyonce is a sheriff,Beyonce is a sheriff,Val is a sheriff,"{'entailment': '0.63', 'neutral': '0.23', 'contradiction': '0.14'}","{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.03'}",0.5
899,Either Cathy or Lamar is a professor,Cathy is a professor,Lamar is a professor,"{'entailment': '0.65', 'neutral': '0.19', 'contradiction': '0.16'}","{'entailment': '0.79', 'neutral': '0.13', 'contradiction': '0.08'}",0.28,Either Lamar or Cathy is a professor,Cathy is a professor,Lamar is a professor,"{'entailment': '0.70', 'neutral': '0.16', 'contradiction': '0.14'}","{'entailment': '0.72', 'neutral': '0.15', 'contradiction': '0.13'}",0.040000000000000036
900,Either Craig or Steven is an actor,Craig is an actor,Steven is an actor,"{'entailment': '0.72', 'neutral': '0.22', 'contradiction': '0.06'}","{'entailment': '0.56', 'neutral': '0.33', 'contradiction': '0.11'}",0.3199999999999999,Either Steven or Craig is an actor,Craig is an actor,Steven is an actor,"{'entailment': '0.60', 'neutral': '0.33', 'contradiction': '0.07'}","{'entailment': '0.62', 'neutral': '0.29', 'contradiction': '0.09'}",0.08000000000000004
901,Either Kassidy or Kevin is an astronomer,Kassidy is an astronomer,Kevin is an astronomer,"{'entailment': '0.55', 'neutral': '0.32', 'contradiction': '0.12'}","{'entailment': '0.71', 'neutral': '0.20', 'contradiction': '0.10'}",0.29999999999999993,Either Kevin or Kassidy is an astronomer,Kassidy is an astronomer,Kevin is an astronomer,"{'entailment': '0.60', 'neutral': '0.31', 'contradiction': '0.09'}","{'entailment': '0.40', 'neutral': '0.44', 'contradiction': '0.16'}",0.39999999999999997
902,Either Katie or Marcus is a model,Katie is a model,Marcus is a model,"{'entailment': '0.62', 'neutral': '0.22', 'contradiction': '0.16'}","{'entailment': '0.44', 'neutral': '0.39', 'contradiction': '0.17'}",0.36,Either Marcus or Katie is a model,Katie is a model,Marcus is a model,"{'entailment': '0.44', 'neutral': '0.26', 'contradiction': '0.30'}","{'entailment': '0.51', 'neutral': '0.34', 'contradiction': '0.15'}",0.30000000000000004
903,Either Beth or Jake is a swimmer,Beth is a swimmer,Jake is a swimmer,"{'entailment': '0.48', 'neutral': '0.48', 'contradiction': '0.04'}","{'entailment': '0.54', 'neutral': '0.41', 'contradiction': '0.05'}",0.14000000000000007,Either Jake or Beth is a swimmer,Beth is a swimmer,Jake is a swimmer,"{'entailment': '0.44', 'neutral': '0.52', 'contradiction': '0.04'}","{'entailment': '0.41', 'neutral': '0.52', 'contradiction': '0.07'}",0.06000000000000003
904,Either Tuppence or DeShawn is an employment,Tuppence is an employment,DeShawn is an employment,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.67', 'neutral': '0.25', 'contradiction': '0.08'}",0.26,Either DeShawn or Tuppence is an employment,Tuppence is an employment,DeShawn is an employment,"{'entailment': '0.69', 'neutral': '0.24', 'contradiction': '0.06'}","{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}",0.17000000000000004
905,Either Janice or Jacob is a landlord,Janice is a landlord,Jacob is a landlord,"{'entailment': '0.64', 'neutral': '0.27', 'contradiction': '0.09'}","{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}",0.2,Either Jacob or Janice is a landlord,Janice is a landlord,Jacob is a landlord,"{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}","{'entailment': '0.54', 'neutral': '0.29', 'contradiction': '0.17'}",0.3999999999999999
906,Either Tanisha or Javier is a mechanic,Tanisha is a mechanic,Javier is a mechanic,"{'entailment': '0.72', 'neutral': '0.25', 'contradiction': '0.03'}","{'entailment': '0.88', 'neutral': '0.09', 'contradiction': '0.03'}",0.32000000000000006,Either Javier or Tanisha is a mechanic,Tanisha is a mechanic,Javier is a mechanic,"{'entailment': '0.68', 'neutral': '0.28', 'contradiction': '0.04'}","{'entailment': '0.86', 'neutral': '0.10', 'contradiction': '0.03'}",0.37
907,Either Barbara or Andrew is a mover,Barbara is a mover,Andrew is a mover,"{'entailment': '0.16', 'neutral': '0.70', 'contradiction': '0.14'}","{'entailment': '0.17', 'neutral': '0.73', 'contradiction': '0.10'}",0.08000000000000004,Either Andrew or Barbara is a mover,Barbara is a mover,Andrew is a mover,"{'entailment': '0.11', 'neutral': '0.77', 'contradiction': '0.12'}","{'entailment': '0.12', 'neutral': '0.78', 'contradiction': '0.10'}",0.039999999999999994
908,Either Roberta or Tyresse is a businessperson,Roberta is a businessperson,Tyresse is a businessperson,"{'entailment': '0.65', 'neutral': '0.29', 'contradiction': '0.06'}","{'entailment': '0.73', 'neutral': '0.23', 'contradiction': '0.04'}",0.15999999999999992,Either Tyresse or Roberta is a businessperson,Roberta is a businessperson,Tyresse is a businessperson,"{'entailment': '0.79', 'neutral': '0.16', 'contradiction': '0.04'}","{'entailment': '0.66', 'neutral': '0.27', 'contradiction': '0.07'}",0.27
909,Either Grace or Micheal is a commander,Grace is a commander,Micheal is a commander,"{'entailment': '0.67', 'neutral': '0.25', 'contradiction': '0.08'}","{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}",0.28,Either Micheal or Grace is a commander,Grace is a commander,Micheal is a commander,"{'entailment': '0.69', 'neutral': '0.21', 'contradiction': '0.10'}","{'entailment': '0.81', 'neutral': '0.15', 'contradiction': '0.04'}",0.2400000000000001
910,Either Megan or Scott is a police officer,Megan is a police officer,Scott is a police officer,"{'entailment': '0.68', 'neutral': '0.26', 'contradiction': '0.06'}","{'entailment': '0.64', 'neutral': '0.25', 'contradiction': '0.11'}",0.10000000000000005,Either Scott or Megan is a police officer,Megan is a police officer,Scott is a police officer,"{'entailment': '0.70', 'neutral': '0.24', 'contradiction': '0.07'}","{'entailment': '0.79', 'neutral': '0.16', 'contradiction': '0.05'}",0.19000000000000006
911,Either Kassandra or Joe is a carpenter,Kassandra is a carpenter,Joe is a carpenter,"{'entailment': '0.63', 'neutral': '0.33', 'contradiction': '0.04'}","{'entailment': '0.76', 'neutral': '0.20', 'contradiction': '0.04'}",0.26,Either Joe or Kassandra is a carpenter,Kassandra is a carpenter,Joe is a carpenter,"{'entailment': '0.67', 'neutral': '0.30', 'contradiction': '0.04'}","{'entailment': '0.39', 'neutral': '0.54', 'contradiction': '0.07'}",0.55
912,Either Benny or Ramirez is a software engineer,Benny is a software engineer,Ramirez is a software engineer,"{'entailment': '0.50', 'neutral': '0.47', 'contradiction': '0.04'}","{'entailment': '0.67', 'neutral': '0.30', 'contradiction': '0.04'}",0.34,Either Ramirez or Benny is a software engineer,Benny is a software engineer,Ramirez is a software engineer,"{'entailment': '0.67', 'neutral': '0.30', 'contradiction': '0.03'}","{'entailment': '0.53', 'neutral': '0.42', 'contradiction': '0.05'}",0.28
913,Either Shiloh or Ron is a magician,Shiloh is a magician,Ron is a magician,"{'entailment': '0.47', 'neutral': '0.44', 'contradiction': '0.09'}","{'entailment': '0.62', 'neutral': '0.31', 'contradiction': '0.07'}",0.30000000000000004,Either Ron or Shiloh is a magician,Shiloh is a magician,Ron is a magician,"{'entailment': '0.63', 'neutral': '0.29', 'contradiction': '0.08'}","{'entailment': '0.56', 'neutral': '0.34', 'contradiction': '0.10'}",0.14
914,Either Amy or Hunter is a businessperson,Amy is a businessperson,Hunter is a businessperson,"{'entailment': '0.34', 'neutral': '0.55', 'contradiction': '0.12'}","{'entailment': '0.50', 'neutral': '0.45', 'contradiction': '0.05'}",0.33,Either Hunter or Amy is a businessperson,Amy is a businessperson,Hunter is a businessperson,"{'entailment': '0.47', 'neutral': '0.43', 'contradiction': '0.09'}","{'entailment': '0.60', 'neutral': '0.36', 'contradiction': '0.05'}",0.24
915,Either Veronica or Jesus is a dancer,Veronica is a dancer,Jesus is a dancer,"{'entailment': '0.71', 'neutral': '0.22', 'contradiction': '0.07'}","{'entailment': '0.25', 'neutral': '0.61', 'contradiction': '0.14'}",0.9199999999999999,Either Jesus or Veronica is a dancer,Veronica is a dancer,Jesus is a dancer,"{'entailment': '0.54', 'neutral': '0.26', 'contradiction': '0.20'}","{'entailment': '0.16', 'neutral': '0.68', 'contradiction': '0.16'}",0.8400000000000001
916,Either Tasha or Ming is a clerk,Tasha is a clerk,Ming is a clerk,"{'entailment': '0.85', 'neutral': '0.12', 'contradiction': '0.03'}","{'entailment': '0.90', 'neutral': '0.06', 'contradiction': '0.03'}",0.11000000000000004,Either Ming or Tasha is a clerk,Tasha is a clerk,Ming is a clerk,"{'entailment': '0.80', 'neutral': '0.16', 'contradiction': '0.05'}","{'entailment': '0.95', 'neutral': '0.03', 'contradiction': '0.01'}",0.3199999999999999
917,Either Carla or Jesus is a prosecutor,Carla is a prosecutor,Jesus is a prosecutor,"{'entailment': '0.63', 'neutral': '0.24', 'contradiction': '0.13'}","{'entailment': '0.38', 'neutral': '0.38', 'contradiction': '0.25'}",0.51,Either Jesus or Carla is a prosecutor,Carla is a prosecutor,Jesus is a prosecutor,"{'entailment': '0.72', 'neutral': '0.17', 'contradiction': '0.12'}","{'entailment': '0.26', 'neutral': '0.50', 'contradiction': '0.25'}",0.9199999999999999
918,Either Julie or Steven is a lifeguard,Julie is a lifeguard,Steven is a lifeguard,"{'entailment': '0.54', 'neutral': '0.33', 'contradiction': '0.13'}","{'entailment': '0.63', 'neutral': '0.27', 'contradiction': '0.10'}",0.17999999999999997,Either Steven or Julie is a lifeguard,Julie is a lifeguard,Steven is a lifeguard,"{'entailment': '0.54', 'neutral': '0.34', 'contradiction': '0.12'}","{'entailment': '0.52', 'neutral': '0.33', 'contradiction': '0.15'}",0.060000000000000026
919,Either Roberta or LeShawn is a historian,Roberta is a historian,LeShawn is a historian,"{'entailment': '0.75', 'neutral': '0.20', 'contradiction': '0.04'}","{'entailment': '0.63', 'neutral': '0.26', 'contradiction': '0.11'}",0.25,Either LeShawn or Roberta is a historian,Roberta is a historian,LeShawn is a historian,"{'entailment': '0.76', 'neutral': '0.19', 'contradiction': '0.05'}","{'entailment': '0.61', 'neutral': '0.28', 'contradiction': '0.11'}",0.30000000000000004
920,Either Nia or Tom is a gambler,Nia is a gambler,Tom is a gambler,"{'entailment': '0.35', 'neutral': '0.60', 'contradiction': '0.05'}","{'entailment': '0.69', 'neutral': '0.26', 'contradiction': '0.04'}",0.69,Either Tom or Nia is a gambler,Nia is a gambler,Tom is a gambler,"{'entailment': '0.40', 'neutral': '0.54', 'contradiction': '0.07'}","{'entailment': '0.37', 'neutral': '0.55', 'contradiction': '0.08'}",0.05000000000000003
921,Either Ellen or Aaron is an analyst,Ellen is an analyst,Aaron is an analyst,"{'entailment': '0.49', 'neutral': '0.45', 'contradiction': '0.06'}","{'entailment': '0.59', 'neutral': '0.31', 'contradiction': '0.11'}",0.29,Either Aaron or Ellen is an analyst,Ellen is an analyst,Aaron is an analyst,"{'entailment': '0.43', 'neutral': '0.50', 'contradiction': '0.07'}","{'entailment': '0.54', 'neutral': '0.33', 'contradiction': '0.12'}",0.33
922,Either Sharon or James is a baker,Sharon is a baker,James is a baker,"{'entailment': '0.69', 'neutral': '0.22', 'contradiction': '0.09'}","{'entailment': '0.56', 'neutral': '0.27', 'contradiction': '0.16'}",0.24999999999999992,Either James or Sharon is a baker,Sharon is a baker,James is a baker,"{'entailment': '0.72', 'neutral': '0.19', 'contradiction': '0.09'}","{'entailment': '0.46', 'neutral': '0.31', 'contradiction': '0.23'}",0.52
923,Either Judy or Alan is a broker,Judy is a broker,Alan is a broker,"{'entailment': '0.59', 'neutral': '0.32', 'contradiction': '0.10'}","{'entailment': '0.64', 'neutral': '0.28', 'contradiction': '0.09'}",0.10000000000000003,Either Alan or Judy is a broker,Judy is a broker,Alan is a broker,"{'entailment': '0.43', 'neutral': '0.47', 'contradiction': '0.10'}","{'entailment': '0.47', 'neutral': '0.39', 'contradiction': '0.14'}",0.15999999999999995
924,Either Melissa or Andrew is a chemist,Melissa is a chemist,Andrew is a chemist,"{'entailment': '0.56', 'neutral': '0.33', 'contradiction': '0.11'}","{'entailment': '0.57', 'neutral': '0.31', 'contradiction': '0.12'}",0.03999999999999991,Either Andrew or Melissa is a chemist,Melissa is a chemist,Andrew is a chemist,"{'entailment': '0.51', 'neutral': '0.39', 'contradiction': '0.10'}","{'entailment': '0.53', 'neutral': '0.29', 'contradiction': '0.18'}",0.20000000000000004
925,Either Jenny or Carl is an economist,Jenny is an economist,Carl is an economist,"{'entailment': '0.41', 'neutral': '0.53', 'contradiction': '0.06'}","{'entailment': '0.38', 'neutral': '0.41', 'contradiction': '0.21'}",0.30000000000000004,Either Carl or Jenny is an economist,Jenny is an economist,Carl is an economist,"{'entailment': '0.55', 'neutral': '0.39', 'contradiction': '0.05'}","{'entailment': '0.44', 'neutral': '0.36', 'contradiction': '0.20'}",0.2900000000000001
926,Either Brittany or Robert is a lifeguard,Brittany is a lifeguard,Robert is a lifeguard,"{'entailment': '0.69', 'neutral': '0.26', 'contradiction': '0.05'}","{'entailment': '0.83', 'neutral': '0.12', 'contradiction': '0.04'}",0.29000000000000004,Either Robert or Brittany is a lifeguard,Brittany is a lifeguard,Robert is a lifeguard,"{'entailment': '0.57', 'neutral': '0.35', 'contradiction': '0.07'}","{'entailment': '0.62', 'neutral': '0.31', 'contradiction': '0.07'}",0.09000000000000002
927,Either Dawn or Won San Lee is a groom,Dawn is a groom,Won San Lee is a groom,"{'entailment': '0.84', 'neutral': '0.13', 'contradiction': '0.03'}","{'entailment': '0.91', 'neutral': '0.07', 'contradiction': '0.02'}",0.14000000000000007,Either Won San Lee or Dawn is a groom,Dawn is a groom,Won San Lee is a groom,"{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}","{'entailment': '0.88', 'neutral': '0.07', 'contradiction': '0.05'}",0.13999999999999996
928,Either Monica or Connor is a medical student,Monica is a medical student,Connor is a medical student,"{'entailment': '0.63', 'neutral': '0.29', 'contradiction': '0.08'}","{'entailment': '0.71', 'neutral': '0.25', 'contradiction': '0.04'}",0.15999999999999995,Either Connor or Monica is a medical student,Monica is a medical student,Connor is a medical student,"{'entailment': '0.62', 'neutral': '0.29', 'contradiction': '0.09'}","{'entailment': '0.73', 'neutral': '0.24', 'contradiction': '0.04'}",0.20999999999999996
929,Either Shiloh or Joey is an attendant,Shiloh is an attendant,Joey is an attendant,"{'entailment': '0.73', 'neutral': '0.21', 'contradiction': '0.06'}","{'entailment': '0.70', 'neutral': '0.20', 'contradiction': '0.10'}",0.08000000000000002,Either Joey or Shiloh is an attendant,Shiloh is an attendant,Joey is an attendant,"{'entailment': '0.61', 'neutral': '0.30', 'contradiction': '0.09'}","{'entailment': '0.71', 'neutral': '0.18', 'contradiction': '0.11'}",0.24
930,Either Anne or Chen Wee is a musician,Anne is a musician,Chen Wee is a musician,"{'entailment': '0.53', 'neutral': '0.38', 'contradiction': '0.10'}","{'entailment': '0.74', 'neutral': '0.17', 'contradiction': '0.08'}",0.43999999999999995,Either Chen Wee or Anne is a musician,Anne is a musician,Chen Wee is a musician,"{'entailment': '0.71', 'neutral': '0.23', 'contradiction': '0.07'}","{'entailment': '0.73', 'neutral': '0.17', 'contradiction': '0.10'}",0.11000000000000001
931,Either Tasha or Zack is a baker,Tasha is a baker,Zack is a baker,"{'entailment': '0.54', 'neutral': '0.37', 'contradiction': '0.09'}","{'entailment': '0.74', 'neutral': '0.17', 'contradiction': '0.09'}",0.3999999999999999,Either Zack or Tasha is a baker,Tasha is a baker,Zack is a baker,"{'entailment': '0.63', 'neutral': '0.30', 'contradiction': '0.07'}","{'entailment': '0.68', 'neutral': '0.22', 'contradiction': '0.10'}",0.16000000000000003
932,Either Joan or Trevon is a salesperson,Joan is a salesperson,Trevon is a salesperson,"{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.03'}","{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}",0.06000000000000002,Either Trevon or Joan is a salesperson,Joan is a salesperson,Trevon is a salesperson,"{'entailment': '0.89', 'neutral': '0.08', 'contradiction': '0.03'}","{'entailment': '0.93', 'neutral': '0.05', 'contradiction': '0.02'}",0.08000000000000003
933,Either Candy or Juan is an actor,Candy is an actor,Juan is an actor,"{'entailment': '0.71', 'neutral': '0.24', 'contradiction': '0.05'}","{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}",0.14,Either Juan or Candy is an actor,Candy is an actor,Juan is an actor,"{'entailment': '0.62', 'neutral': '0.28', 'contradiction': '0.10'}","{'entailment': '0.70', 'neutral': '0.20', 'contradiction': '0.11'}",0.16999999999999998
934,Either Veronica or Jafari is a manager,Veronica is a manager,Jafari is a manager,"{'entailment': '0.74', 'neutral': '0.15', 'contradiction': '0.11'}","{'entailment': '0.79', 'neutral': '0.15', 'contradiction': '0.06'}",0.10000000000000005,Either Jafari or Veronica is a manager,Veronica is a manager,Jafari is a manager,"{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.67', 'neutral': '0.19', 'contradiction': '0.14'}",0.28
935,Either Diamond or Terrell is a guitarist,Diamond is a guitarist,Terrell is a guitarist,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.78', 'neutral': '0.18', 'contradiction': '0.04'}",0.06000000000000002,Either Terrell or Diamond is a guitarist,Diamond is a guitarist,Terrell is a guitarist,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.04'}","{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}",0.029999999999999992
936,Either Melissa or Aaron is an umpire,Melissa is an umpire,Aaron is an umpire,"{'entailment': '0.40', 'neutral': '0.41', 'contradiction': '0.19'}","{'entailment': '0.38', 'neutral': '0.32', 'contradiction': '0.31'}",0.22999999999999998,Either Aaron or Melissa is an umpire,Melissa is an umpire,Aaron is an umpire,"{'entailment': '0.37', 'neutral': '0.39', 'contradiction': '0.24'}","{'entailment': '0.42', 'neutral': '0.32', 'contradiction': '0.26'}",0.14
937,Either Nia or Manuel is a pensioner,Nia is a pensioner,Manuel is a pensioner,"{'entailment': '0.61', 'neutral': '0.33', 'contradiction': '0.06'}","{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}",0.4000000000000001,Either Manuel or Nia is a pensioner,Nia is a pensioner,Manuel is a pensioner,"{'entailment': '0.55', 'neutral': '0.36', 'contradiction': '0.08'}","{'entailment': '0.73', 'neutral': '0.19', 'contradiction': '0.08'}",0.3499999999999999
938,Either Yolanda or Chen Wee is a dentist,Yolanda is a dentist,Chen Wee is a dentist,"{'entailment': '0.76', 'neutral': '0.20', 'contradiction': '0.03'}","{'entailment': '0.94', 'neutral': '0.04', 'contradiction': '0.02'}",0.35,Either Chen Wee or Yolanda is a dentist,Yolanda is a dentist,Chen Wee is a dentist,"{'entailment': '0.90', 'neutral': '0.09', 'contradiction': '0.01'}","{'entailment': '0.90', 'neutral': '0.07', 'contradiction': '0.03'}",0.03999999999999999
939,Either Raven or Trevon is an economist,Raven is an economist,Trevon is an economist,"{'entailment': '0.57', 'neutral': '0.39', 'contradiction': '0.04'}","{'entailment': '0.66', 'neutral': '0.30', 'contradiction': '0.04'}",0.1800000000000001,Either Trevon or Raven is an economist,Raven is an economist,Trevon is an economist,"{'entailment': '0.52', 'neutral': '0.44', 'contradiction': '0.03'}","{'entailment': '0.57', 'neutral': '0.38', 'contradiction': '0.05'}",0.12999999999999995
940,Either Beth or Sidney is a laborer,Beth is a laborer,Sidney is a laborer,"{'entailment': '0.62', 'neutral': '0.32', 'contradiction': '0.06'}","{'entailment': '0.77', 'neutral': '0.18', 'contradiction': '0.06'}",0.29000000000000004,Either Sidney or Beth is a laborer,Beth is a laborer,Sidney is a laborer,"{'entailment': '0.58', 'neutral': '0.34', 'contradiction': '0.08'}","{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.06'}",0.43000000000000016
941,Either Juliette or Mack is a bartender,Juliette is a bartender,Mack is a bartender,"{'entailment': '0.81', 'neutral': '0.14', 'contradiction': '0.05'}","{'entailment': '0.82', 'neutral': '0.13', 'contradiction': '0.06'}",0.029999999999999902,Either Mack or Juliette is a bartender,Juliette is a bartender,Mack is a bartender,"{'entailment': '0.78', 'neutral': '0.15', 'contradiction': '0.08'}","{'entailment': '0.84', 'neutral': '0.11', 'contradiction': '0.05'}",0.12999999999999995
942,Either Shevon or Thorn is a lifeguard,Shevon is a lifeguard,Thorn is a lifeguard,"{'entailment': '0.71', 'neutral': '0.23', 'contradiction': '0.06'}","{'entailment': '0.68', 'neutral': '0.25', 'contradiction': '0.07'}",0.059999999999999915,Either Thorn or Shevon is a lifeguard,Shevon is a lifeguard,Thorn is a lifeguard,"{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.04'}","{'entailment': '0.64', 'neutral': '0.26', 'contradiction': '0.09'}",0.28
943,Either Craig or Scott is a painter,Craig is a painter,Scott is a painter,"{'entailment': '0.66', 'neutral': '0.24', 'contradiction': '0.10'}","{'entailment': '0.53', 'neutral': '0.34', 'contradiction': '0.13'}",0.26,Either Scott or Craig is a painter,Craig is a painter,Scott is a painter,"{'entailment': '0.74', 'neutral': '0.20', 'contradiction': '0.06'}","{'entailment': '0.66', 'neutral': '0.25', 'contradiction': '0.09'}",0.15999999999999995
944,Either Susan or Jacob is a counselor,Susan is a counselor,Jacob is a counselor,"{'entailment': '0.63', 'neutral': '0.25', 'contradiction': '0.12'}","{'entailment': '0.77', 'neutral': '0.15', 'contradiction': '0.08'}",0.28,Either Jacob or Susan is a counselor,Susan is a counselor,Jacob is a counselor,"{'entailment': '0.81', 'neutral': '0.12', 'contradiction': '0.07'}","{'entailment': '0.74', 'neutral': '0.16', 'contradiction': '0.10'}",0.14000000000000007
945,Either Maggie or Brady is a sociologist,Maggie is a sociologist,Brady is a sociologist,"{'entailment': '0.68', 'neutral': '0.22', 'contradiction': '0.10'}","{'entailment': '0.75', 'neutral': '0.17', 'contradiction': '0.08'}",0.13999999999999996,Either Brady or Maggie is a sociologist,Maggie is a sociologist,Brady is a sociologist,"{'entailment': '0.67', 'neutral': '0.24', 'contradiction': '0.10'}","{'entailment': '0.82', 'neutral': '0.12', 'contradiction': '0.05'}",0.3199999999999999
946,Either Anna or Ronnie is a pianist,Anna is a pianist,Ronnie is a pianist,"{'entailment': '0.60', 'neutral': '0.29', 'contradiction': '0.11'}","{'entailment': '0.69', 'neutral': '0.17', 'contradiction': '0.13'}",0.22999999999999993,Either Ronnie or Anna is a pianist,Anna is a pianist,Ronnie is a pianist,"{'entailment': '0.46', 'neutral': '0.36', 'contradiction': '0.18'}","{'entailment': '0.65', 'neutral': '0.22', 'contradiction': '0.13'}",0.37999999999999995
947,Either Cynthia or Ramirez is a groom,Cynthia is a groom,Ramirez is a groom,"{'entailment': '0.48', 'neutral': '0.40', 'contradiction': '0.11'}","{'entailment': '0.65', 'neutral': '0.20', 'contradiction': '0.15'}",0.41000000000000003,Either Ramirez or Cynthia is a groom,Cynthia is a groom,Ramirez is a groom,"{'entailment': '0.46', 'neutral': '0.42', 'contradiction': '0.11'}","{'entailment': '0.72', 'neutral': '0.18', 'contradiction': '0.10'}",0.5099999999999999
948,Either Abigail or Won Lee is a composer,Abigail is a composer,Won Lee is a composer,"{'entailment': '0.69', 'neutral': '0.26', 'contradiction': '0.04'}","{'entailment': '0.85', 'neutral': '0.10', 'contradiction': '0.05'}",0.33000000000000007,Either Won Lee or Abigail is a composer,Abigail is a composer,Won Lee is a composer,"{'entailment': '0.74', 'neutral': '0.21', 'contradiction': '0.05'}","{'entailment': '0.87', 'neutral': '0.09', 'contradiction': '0.04'}",0.26
949,Either Candy or Jake is an attendant,Candy is an attendant,Jake is an attendant,"{'entailment': '0.70', 'neutral': '0.23', 'contradiction': '0.07'}","{'entailment': '0.43', 'neutral': '0.34', 'contradiction': '0.23'}",0.54,Either Jake or Candy is an attendant,Candy is an attendant,Jake is an attendant,"{'entailment': '0.36', 'neutral': '0.47', 'contradiction': '0.16'}","{'entailment': '0.31', 'neutral': '0.35', 'contradiction': '0.34'}",0.35
950,Either Veronica or Chan is a mover,Veronica is a mover,Chan is a mover,"{'entailment': '0.21', 'neutral': '0.69', 'contradiction': '0.10'}","{'entailment': '0.26', 'neutral': '0.63', 'contradiction': '0.11'}",0.11999999999999995,Either Chan or Veronica is a mover,Veronica is a mover,Chan is a mover,"{'entailment': '0.22', 'neutral': '0.67', 'contradiction': '0.12'}","{'entailment': '0.24', 'neutral': '0.66', 'contradiction': '0.10'}",0.04999999999999999
951,Either Heather or Jones is an employment,Heather is an employment,Jones is an employment,"{'entailment': '0.62', 'neutral': '0.25', 'contradiction': '0.13'}","{'entailment': '0.14', 'neutral': '0.71', 'contradiction': '0.15'}",0.96,Either Jones or Heather is an employment,Heather is an employment,Jones is an employment,"{'entailment': '0.42', 'neutral': '0.41', 'contradiction': '0.17'}","{'entailment': '0.38', 'neutral': '0.47', 'contradiction': '0.15'}",0.12
952,Either Tanisha or Scott is a guard,Tanisha is a guard,Scott is a guard,"{'entailment': '0.83', 'neutral': '0.15', 'contradiction': '0.02'}","{'entailment': '0.85', 'neutral': '0.11', 'contradiction': '0.03'}",0.07,Either Scott or Tanisha is a guard,Tanisha is a guard,Scott is a guard,"{'entailment': '0.82', 'neutral': '0.17', 'contradiction': '0.02'}","{'entailment': '0.78', 'neutral': '0.17', 'contradiction': '0.05'}",0.06999999999999992
953,Either Naomi or Thomas is a sociologist,Naomi is a sociologist,Thomas is a sociologist,"{'entailment': '0.52', 'neutral': '0.39', 'contradiction': '0.09'}","{'entailment': '0.48', 'neutral': '0.36', 'contradiction': '0.16'}",0.14000000000000007,Either Thomas or Naomi is a sociologist,Naomi is a sociologist,Thomas is a sociologist,"{'entailment': '0.54', 'neutral': '0.37', 'contradiction': '0.09'}","{'entailment': '0.52', 'neutral': '0.33', 'contradiction': '0.14'}",0.11000000000000001
